Nom_Taxonomique;Noms_valides
CALAPPA SPP;Calappa sp
CALARS;Calappa calappa
CALARS (JUVENILES);Calappa juveniles
CALINECTES PALLIDUS;Callinectes pallidus
CALLAPA CALLAPA;Calappa calappa
CALLAPPA;Calappa calappa
CALLAPPA SP;Calappa sp
CALLINECTES;Callinectes callinectes
CALLINECTES  SP;Callinectes sp
CALLINECTES  SP.;Callinectes sp
CALLINECTES AMNICOLA;Callinectes amnicola
CALLINECTES GLADIATOR;Callinectes gladiator
CALLINECTES PALLIDUS;Callinectes pallidus
CALLINECTES SP;Callinectes sp
CALLINECTES SP.;Callinectes sp
CALLIONEMUS PHAETON;Callionymus phaeton
CALMAR PROFOND;Calamar profond
CALMAR PROFOND IND?ÎTERMIN?Î;Calamar 
CALMARS;Calamar 
CALMARS ( JUVENILES);Calamar 
CALMARS (JUVENILES);Calamar 
CALMARS DIVERS;Calamar 
CALMARS JUV?ÎNILES;Calamar 
CALMARS JUVENILES;Calamar 
CALMARS SP;Calamar 
CALMARS SP (JUVENILES);Calamar 
CAMPOGRAMMA GLAYCOS;Campogramma glaycos
CAPROS APER;Capros aper
CARANX CARANGUS;Caranx carangus
CARANX CRYSOS;Caranx crysos
CARANX HIPPOS;Caranx hippos
CARANX LUGUBRIS;Caranx lugubris
CARANX RHONCHUS;Caranx rhonchus
CARANX SENEGALLUS;Caranx senegalus
CARANX SENEGALUS;Caranx senegalus
CARANX SP;Caranx sp
CARANX SP.;Caranx sp
CARAPUS ACUS;Carapus acus
CARCHARHINUS BREVIPINNA;Carcharhinus brevipinna
CARCHARHINUS SIGNATUS;Carcharhinus signatus
CARCHARHINUS SP;Carcharhinus sp
CARCHARHINUS SP.;Carcharhinus sp
CARCHARHINUS SPP.;Carcharhinus sp
CARCHARINUS SIGNATUS;Carcharhinus signatus
CARCHARINUS SP.;Carcharhinus sp
CARCHARODON CARCHARIAS;Carcharodon carcharias
CARDIOSOMA ARMATUM;Cardisoma armatum
CARIDAE;Cardiidae
CARIIDAE;Cardiidae
CASSIS TESSELATA;Cassis tessellata
CENTRARCHOPS CHAPINI;Centrarchops chapini
CENTROLOPHUS NIGER;Centrolophus niger
CENTROPHORIDAE;Centrophoridae
CENTROPHORUS;Centrophorus 
CENTROPHORUS GRANULOSA;Centrophorus granulosus
CENTROPHORUS GRANULOSUS;Centrophorus granulosus
CENTROPHORUS IYATO;Centrophorus uyato
CENTROPHORUS LUSITANICUS;Centrophorus lusitanicus
CENTROPHORUS SP;Centrophorus sp
CENTROPHORUS SP.;Centrophorus sp
CENTROPHORUS SQUAMOSUS;Centrophorus squamosus
CENTROPHORUS UYATO;Centrophorus uyato
